fila,alta_confirmada,fecha_alta_completa,asignaciones_codigo,cambios_codigo,movimientos_departamento,movimientos_ubicacion,regresos_almacen,cambios_fecha_alta,cambios_fecha_baja
546,NO,,0,0,0,1,1,0,0
551,NO,,0,0,0,1,1,0,0
554,NO,,0,0,0,0,0,0,1
555,NO,,1,0,1,1,0,1,0
556,NO,,1,0,1,1,0,1,0
557,NO,,1,0,1,1,0,1,0
558,NO,,1,0,1,1,0,1,0
559,NO,,0,0,0,2,1,0,0
560,NO,,0,0,0,2,0,0,0
561,NO,,0,0,0,1,0,0,0
566,NO,,0,0,1,1,1,0,0
568,SI,2024-04-29 13:43,1,0,2,2,1,1,0
569,SI,2024-04-19 12:56,1,2,2,3,2,1,1
570,NO,,0,0,1,3,2,0,0
571,NO,,0,0,0,1,1,0,0
572,NO,,1,0,1,2,1,1,0
573,NO,,0,0,0,1,1,0,0
574,NO,,0,0,0,2,1,0,0
576,NO,,0,0,0,1,1,0,0
577,NO,,0,0,0,1,1,0,0
578,NO,,0,0,0,1,1,0,0
580,NO,,0,0,0,2,2,0,0
581,NO,,0,0,0,1,0,0,0
583,NO,,0,0,0,0,0,0,0
584,NO,,0,0,0,0,0,0,0
585,NO,,0,0,0,0,0,0,0
586,NO,,0,0,0,1,1,0,0
587,NO,,0,0,0,1,1,0,0
588,NO,,0,0,0,1,1,0,0
589,NO,,0,0,0,1,1,0,0
590,NO,,0,0,0,1,1,0,0
591,NO,,0,0,0,1,1,0,0
592,NO,,0,0,0,1,1,0,0
593,NO,,0,0,0,1,1,0,0
594,NO,,0,0,0,1,1,0,0
595,NO,,0,0,0,1,1,0,0
596,NO,,0,0,0,1,0,0,0
599,NO,,0,0,0,1,0,0,0
600,NO,,0,0,1,1,1,0,0
602,NO,,0,0,0,0,0,0,1
605,NO,,0,0,0,0,0,0,0
607,NO,,1,0,1,2,1,1,0
608,NO,,0,0,0,1,0,0,0
610,SI,2024-08-29 09:18,1,0,1,2,0,1,0
611,SI,2024-08-29 09:24,1,0,1,1,0,1,0
612,NO,,0,0,0,1,1,0,0
613,NO,,0,0,0,0,0,0,0
614,NO,,0,0,0,0,0,0,0
615,NO,,0,0,0,0,0,0,0
616,NO,,0,0,0,0,0,0,0
619,NO,,0,0,0,1,0,0,0
621,NO,,0,0,0,1,0,0,0
628,NO,,0,0,0,0,0,0,0
629,NO,,0,0,0,0,0,0,1
633,SI,2025-02-11 10:37,1,0,1,2,0,1,0
634,NO,,0,0,0,1,0,0,0
635,NO,,0,0,0,0,0,0,0
636,NO,,0,0,0,0,0,0,0
637,NO,,0,0,0,1,0,0,0
638,NO,,0,0,0,1,0,0,0
639,NO,,0,0,0,1,0,0,0
640,NO,,0,0,0,1,0,0,0
643,NO,,0,0,0,0,0,0,0
644,NO,,0,0,0,0,0,0,1
645,NO,,1,0,1,1,0,1,0
686,NO,,1,0,1,1,0,1,0
