Instrumento,Marca,Modelo,Serie,Código,Departamento responsable,Ubicación,Requerimiento,Impacto de la falla,Consideraciones de falla,Clase de riesgo,Capacidad de detección ,Frecuencia,Última calibración,Fecha programada,Observaciones,Tipo de calibración,Especificaciones
Manómetro de vacío,ND,4CFD8A,ND,MAV-LC-06,Gestión de la Calidad,"Control en Proceso, en BOV-CP-01",Calibración,3,2,Alto,1,12,02-dic-24,Dic-25,,En planta + Mantenimiento,"0.00inHg, 5.00inHg, 10.00 inHg, 15.00inHg, 20.00inHg, 30.00inHg Tol ±1.00InHg"
Manómetro de vacío,ND,ND,ND,MAV-LC-07,Control de Calidad,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-LC-04",Calibración,2,3,Alto,1,12,02-may-25,May-26,,En planta + Mantenimiento,"0.0 inHg, 5.00inHg, 10.0inHg, 15.0inHg, 20.0inHg, 24.0InHg Tol ±1inHg"
Manómetro diferencial,Dwyer Instruments,2300-0,R041020KM13,MAD-LC-01,NA,NA,NA,NA,NA,NA,NA,NA,05-Abr-18,NA,Baja: 28-Sep-18,NA,NA
Manómetro diferencial,Dwyer Instruments,2300-0,R051003GA13,MAD-LC-02,Microbiología,Microbiología ,Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"-0.250 InH2O, -0.150 InH2O, -0.050 InH2O, 0.000 InH2O, 0.050 InH2O, 0.150 InH2O, 0.250 InH2O Tol ± 0.01"
Manómetro diferencial,Dwyer Instruments,2302,R041104LB37,MAD-LC-03,NA,NA,NA,NA,NA,NA,NA,NA,24-Jul-18,NA,Baja: 28-Sep-18,NA,NA
Manómetro diferencial,Dwyer Instruments,2300-0,W12AD JH,MAD-LC-04,Microbiología,Preparación Microbiológica,Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"-0.250 inH2O, -0.150 inH2O, -0.050 inH2O, 0.000 inH2O, 0.050 inH2O, 0.150 inH2O, 0.250 inH2O  Tol: ± 0.01"
Manómetro diferencial,Dwyer Instruments,2300-0,W12AD KM,MAD-LC-05,Microbiología,Esclusa a Microbiología,Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"-0.250 inH2O, -0.150 inH2O, -0.050 inH2O, 0.000 inH2O, 0.050 inH2O, 0.150 inH2O, 0.250 inH2O  Tol: ± 0.01"
Manómetro diferencial,Dwyer Instruments,2300-0,R040618GA14,MAD-LC-06,Control de Calidad,Control de Calidad,Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"-0.250 inH2O, -0.150 inH2O, -0.050 inH2O, 0.000 inH2O, 0.050 inH2O, 0.150 inH2O, 0.250 inH2O  Tol: ± 0.01"
Manómetro diferencial,Dwyer Instruments,2002-C,R041019LM64,MAD-MA-01,Mantenimiento,"Piso Técnico, en Prefiltro corrugado (UMA-MA-01)",Calibración,2,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"0.000 inH2O, 0.500 inH2O, 1.000 inH2O, 1.500 inH2O, 2.000 inH2O Tol: ±0.050"
Manómetro diferencial,Dwyer Instruments,2002-C,R041019LM90,MAD-MA-02,Mantenimiento,"Piso Técnico, en Filtro de bolsa (UMA-MA-01)",Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"0.000 inH2O, 0.500 inH2O, 1.000 inH2O, 1.500 inH2O, 2.000 inH2O Tol: ±0.050"
Manómetro diferencial,Dwyer Instruments,2003,R041014LM33,MAD-MA-03,Mantenimiento,"Piso Técnico, en Filtro HEPA (UMA-MA-01)",Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"0.000 inH2O, 0.500 inH2O, 1.000 inH2O, 2.000 inH2O, 3.000 inH2O Tol ± 0.050"
Manómetro diferencial,Dwyer Instruments,2001,R070503JD110,MAD-MA-04,Mantenimiento,"Piso Técnico, en Prefiltro corrugado (UMA-MA-02)",Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"0.000 inH2O, 0.100 inH2O, 0.200 inH2O, 0.400 inH2O, 0.600 inH2O, 0.800 inH2O, 1.000 inH2O Tol: ± 0.020"
Manómetro diferencial,Dwyer Instruments,2001-C,R070307JT94,MAD-MA-05,Mantenimiento,"Piso Técnico, en Filtro de bolsa (UMA-MA-02)",Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"0.000 inH2O, 0.200 inH2O, 0.400 inH2O, 0.600 inH2O, 0.800 inH2O, 1.000 inH2O Tol: ± 0.020"
Manómetro diferencial,Dwyer Instruments,2002-C,R070622JT92,MAD-MA-06,Mantenimiento,"Piso Técnico, en Filtro HEPA (UMA-MA-02)",Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"0.000 inH2O, 0.500 inH2O, 1.000 inH2O, 1.500 inH2O, 2.000 inH2O Tol: ±0.050"
Manómetro diferencial,SENSOCON,S2000-1000MM,S17020071,MAD-MA-07,Mantenimiento,"Piso Técnico, en UMA-MA-03",Calibración,3,2,Alto,1,12,01-abr-25,Abr-26,,En planta + Mantenimiento,"0 MMh2O, 300 mmH2O, 600 mmH2O, 900 mmH2O, 1000 mmH2O Tol ±20 mmH20"
Manómetro diferencial,SENSOCON,S2000-1000MM,S17020071,MAD-MA-08,Mantenimiento,"Piso Técnico, en UMA-MA-03",Calibración,3,2,Alto,1,12,01-abr-25,Abr-26,,En planta + Mantenimiento,"0 MMh2O, 300 mmH2O, 600 mmH2O, 900 mmH2O, 1000 mmH2O Tol ±20 mmH20"
Manómetro diferencial,Dwyer Instruments,Minihelic II 2-5005,ND,MAD-MA-09,Mantenimiento,"Tercer Piso, en UMA-MA-04",Calibración,3,2,Alto,3,6,02-jun-25,Dic-25,,En planta + Mantenimiento,"0.0 inH2O, 0.4 inH2O, 1.0 inH2O, 1.4 inH2O, 2.0 inH2O, 2.4 inH2O, 3.0 inH2O, 4.0 inH2O, 5.0 inH2O ± 0.2 inH2O."
Manómetro diferencial,Dwyer Instruments,Minihelic II 2-5005,ND,MAD-MA-10,Mantenimiento,"Tercer Piso, en UMA-MA-04",Calibración,3,2,Alto,3,6,02-jun-25,Dic-25,,En planta + Mantenimiento,"0.0 inH2O, 0.4 inH2O, 1.0 inH2O, 1.4 inH2O, 2.0 inH2O, 2.4 inH2O, 3.0 inH2O, 4.0 inH2O, 5.0 inH2O ± 0.2 inH2O."
Manómetro diferencial,Dwyer Instruments,Minihelic II 2-5005,ND,MAD-MA-11,Mantenimiento,"Tercer Piso, en UMA-MA-04",Calibración,3,2,Alto,3,6,02-jun-25,Dic-25,,En planta + Mantenimiento,"0.0 inH2O, 0.4 inH2O, 1.0 inH2O, 1.4 inH2O, 2.0 inH2O, 2.4 inH2O, 3.0 inH2O, 4.0 inH2O, 5.0 inH2O ± 0.2 inH2O."
Manómetro diferencial,Dwyer Instruments,Minihelic II 2-5005,ND,MAD-MA-12,Mantenimiento,"Tercer Piso, en UMA-MA-04",Calibración,3,2,Alto,3,6,02-jun-25,Dic-25,,En planta + Mantenimiento,"0.0 inH2O, 0.4 inH2O, 1.0 inH2O, 1.4 inH2O, 2.0 inH2O, 2.4 inH2O, 3.0 inH2O, 4.0 inH2O, 5.0 inH2O ± 0.2 inH2O."
Manómetro diferencial,Dwyer Instruments,2302,R041104LB6,MAD-PR-01,Validación,"Móvil, Almacén de Validación",Calibración,3,3,Alto,2,6,01-sep-25,Mar-26,,En planta + Mantenimiento,"-1.000 inH2O, -0.500 inH2O, -0.250 inH2O, 0.000 inH2O,  0.250 inH2O, 0.500 inH2O, 1.000 inH2O Tol: ±0.050"
